year,quarter,repository_language,pushes_by_lang
2013,4,JavaScript,1754520
2013,4,null,1381281
2013,4,Java,1253546
2013,4,Python,859437
2013,4,CSS,856335
2013,4,Ruby,831747
2013,4,PHP,813185
2013,4,C++,574611
2013,4,C,455615
2013,4,Shell,334037
2013,4,C#,249458
2013,4,Objective-C,167331
2013,4,VimL,98642
2013,4,Perl,89457
2013,4,Go,66580
2013,4,CoffeeScript,66310
2013,4,Scala,59339
2013,4,Emacs Lisp,44848
2013,4,R,42829
2013,4,Haskell,42217
2013,4,Lua,41562
2013,4,Matlab,37318
2013,4,Clojure,32124
2013,4,TeX,26510
2013,4,Puppet,23330
2013,4,Groovy,22928
2013,4,ActionScript,18379
2013,4,Logos,17919
2013,4,Erlang,17269
2013,4,OCaml,14012
2013,4,TypeScript,12907
2013,4,Arduino,12281
2013,4,D,10323
2013,4,XSLT,10072
2013,4,ASP,9505
2013,4,Processing,9464
2013,4,Common Lisp,9288
2013,4,Dart,8459
2013,4,Visual Basic,8369
2013,4,Prolog,8066
2013,4,PowerShell,7714
2013,4,Rust,7504
2013,4,Assembly,7374
2013,4,Scheme,7217
2013,4,Pascal,7002
2013,4,FORTRAN,7002
2013,4,Racket,6168
2013,4,Julia,6041
2013,4,F#,5542
2013,4,Verilog,4796
2013,4,Haxe,4575
2013,4,VHDL,4424
2013,4,Elixir,4031
2013,4,DOT,3593
2013,4,OpenEdge ABL,3438
2013,4,ColdFusion,3239
2013,4,Vala,3115
2013,4,Tcl,2767
2013,4,Standard ML,2731
2013,4,XML,2254
2013,4,AutoHotkey,2113
2013,4,LiveScript,1927
2013,4,Coq,1842
2013,4,Ada,1422
2013,4,Oxygene,1387
2013,4,SuperCollider,1259
2013,4,M,1256
2013,4,Lasso,1222
2013,4,Apex,1107
2013,4,Smalltalk,978
2013,4,Slash,881
2013,4,XC,755
2013,4,XQuery,715
2013,4,Eiffel,701
2013,4,Factor,668
2013,4,nesC,637
2013,4,BlitzBasic,631
2013,4,Elm,624
2013,4,Nimrod,617
2013,4,Nemerle,596
2013,4,AppleScript,593
2013,4,Objective-J,592
2013,4,Awk,582
2013,4,Gosu,574
2013,4,Xtend,551
2013,4,Max,514
2013,4,Ceylon,481
2013,4,DM,478
2013,4,Pure Data,476
2013,4,Scilab,442
2013,4,Kotlin,424
2013,4,Squirrel,420
2013,4,Parrot,414
2013,4,Boo,340
2013,4,Io,334
2013,4,Delphi,331
2013,4,IDL,300
2013,4,HaXe,292
2013,4,Agda,270
2013,4,UnrealScript,266
2013,4,Logtalk,241
2013,4,MoonScript,230
2013,4,Dylan,208
2013,4,Brightscript,204
2013,4,xBase,199
2013,4,Pike,198
2013,4,AutoIt,189
2013,4,ooc,170
2013,4,Bluespec,170
2013,4,KRL,142
2013,4,Bro,118
2013,4,NetLogo,107
2013,4,J,97
2013,4,COBOL,93
2013,4,Ragel in Ruby Host,82
2013,4,XProc,80
2013,4,Arc,75
2013,4,Forth,71
2013,4,CLIPS,68
2013,4,Augeas,66
2013,4,Idris,63
2013,4,Perl6,62
2013,4,Fancy,55
2013,4,PogoScript,53
2013,4,Monkey,42
2013,4,Ecl,40
2013,4,Rebol,29
2013,4,wisp,25
2013,4,Crystal,24
2013,4,DCPU-16 ASM,23
2013,4,Nu,22
2013,4,Fantom,19
2013,4,ANTLR,19
2013,4,TXL,18
2013,4,Mirah,18
2013,4,Glyph,16
2013,4,Clean,15
2013,4,REALbasic,14
2013,4,ABAP,14
2013,4,Self,8
2013,4,Turing,8
2013,4,Volt,7
2013,4,Rouge,6
2013,4,eC,2
2013,4,RobotFramework,2
2013,4,Opa,1
2014,1,JavaScript,2055135
2014,1,null,1547472
2014,1,Java,1401361
